-,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,n,n,e,a,b,c,x,g,n,n,e,n
1985.1,2237.6,2431.6,2545.2,2780.8,2953.4,3072.2,3250.4,3403.8,3559,NaN,NaN,3886.4,NaN,4079.2,4234.6,4391.8,4603.7,4725.7,4836.3,5013.5,5167.8,5326.3,NaN,NaN,5652.8,NaN,5846.2,6002.8,6167.4,6382.1,6504.6,6613.7,6814.1,6953.6,7063.5,7237.9,7394.1,7552.9,NaN,NaN,7887.9,NaN,8084,8243.2,8409.6,8624.1,8752.6,8869,9096.9,9241.3,9351.6,9535.2,9689.9,9866.7,NaN,NaN,10211,10350,10463,10642,10799,10970,NaN,NaN,11300,NaN,11497,11658,11830,12050,12176,12289,12481,NaN,12678,12838,13023,13320,13468,13579,13782,13930,14043,14245,14395,14573,NaN,NaN,14930,15096,15209,15410,NaN,15610,15771,15943,16160,16295,16417,16671
2060.1,2308.8,2499.2,2662.2,2852.1,3028.6,3186.5,3346.6,3501,NaN,NaN,3818.1,NaN,4031.2,4186.5,4329.3,4565.5,4675.6,4799.5,4959.3,5115.2,5265.6,NaN,NaN,5588,NaN,5797.6,5945.5,6100.2,6343.9,6453,6580.1,6735.6,6887.5,7022.8,7185.1,7342.3,7491,NaN,NaN,7808.5,NaN,8032.1,8188.6,8338,8588.9,8693.7,8829.4,8991.7,9182.5,9315.2,9475.5,9637.6,9804.2,NaN,NaN,10132,10282,10426,10585,10746,10896,NaN,NaN,11224,NaN,11449,11603,11755,12011,12123,12253,12409,NaN,12630,12783,12935,13199,13391,13546,13703,13858,14006,14166,14342,14497,NaN,NaN,14826,15019,15171,15333,NaN,15561,15714,15867,16120,16232,16368,16538,16745
