-,-,-,c,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x,d,m,p,a,b,c,x,d,m,p,n,n,e,a,b,c,x,g,n,n,n,e,n,n,e,a,b,c,x,d,m,p,n,n,e,a,b,c,x,g,n,n,e,n
1260,1998.8,2401.3,2683.9,2830.3,2985.2,3248.6,3406.7,3531.8,4371.5,4532.8,4657.4,4860.2,5009.3,5160.4,NaN,NaN,5477.8,NaN,5668.8,5818.3,5982.1,6194.1,6315.8,6427.9,6601.7,6753.9,6907.2,NaN,NaN,7231.1,NaN,7423,7577.8,7746.8,7960.4,8087,8195.7,8392,8531.3,8644,8819.9,8972.8,9130.2,NaN,NaN,9453.4,NaN,9648.4,9808.1,9973.4,10188,10315,10433,10634,10771,10882,11087,11235,11345,11528,11682,11858,NaN,NaN,12187,NaN,12381,12540,12709,12921,13044,13154,13352,13489,13604,13785,NaN,13980,14141,14334,NaN,NaN,14658,NaN,14854,15011,15214,NaN,NaN,15574,15778,15890,16074,NaN,16271,16430,16613,16841,17033,17195,17326,17530,17685,17799,17988,NaN,18190,18348,18558,NaN,NaN,18927,19075,19190,19378,NaN,19578,19733,19912,20137,20271,20395,20605
1299.8,2035.9,2440.3,2725.8,2902.3,3053,3318.4,3480.4,3635.7,4440.5,4607.5,4773,4959.8,5105.2,NaN,NaN,5414.2,NaN,5619.7,5766.2,5911.9,6156.5,6279.8,6392.6,6550.4,6701.5,6851.7,NaN,NaN,7159,NaN,7376.5,7531,7675.3,7923.1,8040.4,8163.5,8315.9,8467.5,8606.4,8766.6,8920.4,9068,NaN,NaN,9385.1,NaN,9601.1,9757.3,9907.9,10154,10262,10390,10554,10705,10846,11000,11159,11310,11464,11631,11782,NaN,NaN,12111,NaN,12333,12480,12639,12882,12995,13116,13278,13439,13564,13724,NaN,13930,14079,14240,NaN,NaN,14588,NaN,14802,14956,15109,NaN,NaN,15461,15642,15856,16012,NaN,16222,16375,16530,16794,16886,17104,17267,17443,17603,17760,17922,NaN,18136,18285,18449,NaN,NaN,18813,18997,19152,19312,NaN,19525,19678,19833,20090,20209,20350,20515,20678
