-,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e
1118.2,1819.6,1976.1,2136.7,2311.8,2439.4,2709.3,2885,3006.2,3202.6,3353.5,3518,NaN,NaN,3846.9,NaN,4042.6,4201.3,4366.4,4579.7,4712.4,4826.1,5027.8,5166.8,5281.8,5465.4,5617.9,5780.8,NaN,NaN,6114.7,NaN,6308.6,6467.2,6625.4,6911,7050.3,7161.8,7343.6,7497.1,7659.8,NaN,NaN,7990.1,NaN,8185.2,8342.8,8511.5,8724.5,8847.6,8959,9143.6,9297.4,9454,NaN,NaN,9782.2,NaN,9982.9,10142,10346,10552,10678,10796,11011,11162,11279
1164.1,1859.7,2049.9,2191.1,2404.5,2546.8,2780.3,2959.2,3127.6,3291,3450.9,NaN,NaN,3770.8,NaN,3995.5,4151.4,4297.8,4542.5,4652.9,4790.7,4945.5,5099.7,5241.4,5406.7,5562.1,5718,NaN,NaN,6033.9,NaN,6261.5,6411.8,6561.6,6803.2,6981.6,7129,7283.8,7449.3,7596.5,NaN,NaN,7915.3,NaN,8137.5,8283.2,8442.1,8686,8793.8,8921.3,9079.6,9246.7,9402.8,NaN,NaN,9715.9,NaN,9928,10080,10242,10515,10624,10754,10919,11084,11236,11400
