n,n,n,n,n,e,n,n,e,n,n,e,n,n,e,c,x,d,m,p,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c
1786.6,1961,2126.7,2398.6,2578,2719.6,3388.3,3570.6,3709.2,3957.5,4159.2,4278.3,4583.6,4761.8,4872.6,5080.1,5231.8,5389.4,NaN,NaN,5842.4,6012,6128.2,6329.2,6482.5,6645.2,NaN,NaN,6980.7,NaN,7177.1,7337.3,7521.8,7741.6,7873,7993.2,8208.2,8362.4,8475.9,8660,8813.3,8974.1,NaN,NaN,9320.7,NaN,9516.9
1837.8,2032.4,2180.6,2494.6,2634.3,2825.8,3455.2,3638.8,3816.7,4024.3,4226.9,4393.8,4656.2,4840.3,4993.8,5180.8,5328.9,NaN,NaN,5641.2,5916.4,6088.9,6249.1,6430.3,6580.8,NaN,NaN,6897.6,NaN,7127.9,7281.9,7433,7698.8,7814.6,7950.6,8116,8289.3,8436.9,8597.1,8762,8912.2,NaN,NaN,9231.2,NaN,9465.3,9616.4
