g,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,n,e,n,n,e,c,x,g,n,n,e,n,n,e,a,b,c,x,d,m,p,n,n,e,c,x,d,m,p,n,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x
1823.8,1975.3,2133.5,2299.1,2409.1,2647.9,2835.7,2959.6,3141.3,3294.3,3457.8,NaN,NaN,3809.6,NaN,4004.3,4163.2,4332.9,4546.8,4668.1,4779.9,4980.9,5126.8,5240,5419.3,NaN,5616,5775,5949.4,6172.8,6297.3,6409.8,6594.9,6751.4,6920.9,NaN,NaN,7252.7,NaN,7453.3,7631.2,7746.2,7964.1,8114.4,8230.2,8415.5,8571.7,8741.4,8959,9086.2,9202.2,9410.6,9582.3,9697.8,9876.8,NaN,10076,10234,10427,NaN,NaN,10788,10936,11056,11252,11414,11596,NaN,NaN,11978,12232,12385,12506,12707,NaN,12917,13078,13263,13484,13618,13738,13926,NaN,14129,14292,14472,14698,14829,14951,15185,15338,15458,15649,NaN,15852,16015
1862.8,2054.2,2205.7,2368.3,2520.1,2717.3,2911.8,3075.1,3241,3391.9,NaN,NaN,3712.6,NaN,3951.9,4106.8,4256.2,4507.4,4616,4743.8,4902.8,5054.6,5201.3,5360.3,NaN,5564.2,5711.5,5872.8,6127.2,6244.3,6376.6,6531,6696.2,6851.9,NaN,NaN,7172.3,NaN,7402,7549.7,7709.4,7866.7,8040.4,8192.7,8347.8,8509,8671.6,8917.1,9032.2,9163.8,9326.8,9488.2,9660,9819.6,NaN,10025,10177,10332,NaN,NaN,10684,10858,11010,11176,11354,11515,NaN,NaN,11857,12049,12304,12463,12628,NaN,12855,13009,13179,13443,13561,13696,13862,NaN,14075,14231,14393,14653,14769,14905,15072,15258,15417,15580,NaN,15797,15957,16110
