n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n
1823.4,1969.7,2130.1,2398.8,2591.2,2712.4,3222.4,3403.1,3529.2,3737.5,3895.9,4017.7,4204.7,4359.4,4516.5,NaN,NaN,4844.4,NaN,5044.5,5198.6,5384,5601.5,5729.2
1872.3,2045.9,2195.8,2464.8,2656.2,2818.8,3294.9,3472.5,3641.9,3832.6,3972.5,4135.5,4300.8,4459.3,NaN,NaN,4779.2,NaN,4993.2,5144.9,5298.6,5561.9,5692,5803.1
