n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,d,m,p,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g
3468.6,3666.8,3831.6,4056,4240.9,4369.9,4567.5,4723.1,4892.9,NaN,NaN,5242.1,NaN,5442.6,5601.8,5783.3,6007.8,6139.8,6255.3,6463.7,6616.1,NaN,NaN,6922.9,7079,7242.7,NaN,NaN,7581.4,NaN,7782.8,7942.7,8118.5,8343.4,8473.3,8592.6,8785.5,NaN,8988,9154.3,9326.6,9555.5,9684.7,9796.6,10007,10156,10273,10460,10618,10787,NaN,NaN,11122,NaN,11326,11490,11667,11892,12024,12140,12349,12499,12612,12803,12963,13128,NaN,NaN,13471,NaN,13676,13841,14022,14247,14378,14494,14712,14916,15031,15258,15409,15524,15722,15883,16059,NaN,NaN,16411,NaN,16614,16787,16981
3544.1,3737.2,3943.3,4132.7,4316.8,4494.8,4672.2,4835.9,NaN,NaN,5155.8,NaN,5394.5,5552.9,5716.4,5972.8,6091.2,6222,6392.7,6552.1,NaN,NaN,6869.1,7030.9,7198.1,NaN,NaN,7508,NaN,7733.8,7891.1,8053.7,8301.8,8432.8,8555.9,8720.3,NaN,8937.4,9095.6,9270.1,9516.8,9649.6,9766,9921.5,10083,10241,10411,10586,10737,NaN,NaN,11060,NaN,11276,11438,11606,11853,11978,12103,12267,12446,12578,12741,12927,13076,NaN,NaN,13391,NaN,13625,13800,13962,14211,14332,14458,14623,14789,14997,15156,15345,15488,15652,15831,15999,NaN,NaN,16324,NaN,16561,16725,16900,17170
