n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,n,n,e,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,n,n,e,n,n,n,e,c,x,g,n,n,e,a,b,c
1993.1,2182.1,2308,2548.1,2728.3,2851.2,3043.4,3201.9,3362,NaN,NaN,3697.2,NaN,3901.4,4059.6,4234.4,4460.8,4591.4,4707,4920.1,5074.7,5190.9,5381.5,5544.7,5709.8,NaN,NaN,6046.9,NaN,6250.7,6409,6587.2,6813.2,6946.9,7063.2,7259.3,7418.9,7586.6,NaN,NaN,7925.1,NaN,8125.7,8292,8463.1,8688.9,8817,8932.5,9132.5,9292.1,9458.4,NaN,NaN,9811.7,9958.1,10074,10268,10429,10593,10822,10953,11067,11252,NaN,11455,11619,11810,NaN,NaN,12175,12336,12453,12644,12805,12981,NaN,NaN,13330,NaN,13532,13696,13870,14102,14228,14342,14530,NaN,14735,14901,15081,15310,15438,15556,15763,NaN,15966,16133,16315,NaN,NaN,16680,16837,16951,17165,17327,17445,17673,17912,18057,18174,18371,18533,18705,18932,19061,19179,19368,NaN,19573
2067.6,2252,2422.5,2620.3,2804,2979.2,3152.8,3309.9,NaN,NaN,3636.4,NaN,3850.8,4011.4,4172.2,4422.3,4536.9,4673.8,4820.1,4993.6,5153.2,5326.8,5491.8,5658.3,NaN,NaN,5973.2,NaN,6198.5,6352.6,6519.2,6773.9,6900.2,7030.1,7196.3,7369.6,7533.9,NaN,NaN,7850.1,NaN,8077.5,8251.3,8407.5,8648.5,8771.1,8896.9,9060.2,9239.7,9412.8,NaN,NaN,9725.3,9882.1,10038,10199,10390,10537,10783,10907,11034,11209,NaN,11404,11562,11729,NaN,NaN,12076,12250,12417,12592,12747,12915,NaN,NaN,13248,NaN,13480,13632,13804,14058,14185,14311,14484,NaN,14681,14861,15010,15273,15394,15522,15683,NaN,15913,16087,16247,NaN,NaN,16575,16770,16915,17076,17241,17409,17580,17746,17986,18139,18301,18480,18647,18893,19010,19142,19304,NaN,19521,19684
