-,-,-,-,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c
1992.1,2710,3056.8,3419.6,3620.1,3743.9,4192.8,4395.3,4511.9,4735.1,4931.5,5072,5258.4,5405.1,5561.1,NaN,NaN,5880.6,NaN,6076.8,6231.2,6400.9,6614.8,6737,6849,7044.6,7188.5,7304.3,7515.4
2122.7,2757.4,3111.4,3467.8,3675.4,3967.2,4263.2,4457.5,4624.9,4805.9,5003.5,5192.1,5357.1,5500.6,NaN,NaN,5813.2,NaN,6030.4,6175.9,6326.2,6575.2,6685.8,6809.6,6965.7,7113,7261.6,7419.2,7579.8
