-,n,n,e,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g
1166.9,1983.2,2156.4,2303.3,3018.5,3207.3,3332.1,3583.4,3791.6,3923.6,4197.6,4365,4485.2,4671.4,4824.9,4971.3,NaN,NaN,5308.8,NaN,5512.2,5667.2,5861.7,6076.7,6207.7,6329.8,6539.7,6696,6808.9,6993.3,7147.6,7309.7,NaN,NaN,7645.8,NaN,7842.7,8000.5,8185.6
1198.4,2066,2216.1,2408,3089.3,3270.2,3440.9,3651.5,3861.2,4042.2,4266.9,4440.7,4609.2,4771.1,4917.5,NaN,NaN,5227.3,NaN,5458.5,5616.6,5765.5,6039.2,6162.1,6280.2,6455.1,6614.3,6773.8,6926.2,7098.3,7249.8,NaN,NaN,7569,NaN,7789.8,7948.4,8098.2,8366
