n,n,n,n,e,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,c,x,g,n,n,e,a,b,c,x,g,n,n,e,n,n,e,a
1762.1,1948.5,2117.9,2274.8,2405.8,2730,2872.6,3056.7,3180.6,3486,3663.5,3789.2,4001.2,4191.9,4330.4,4527.8,4680.4,4857.2,NaN,NaN,5204,NaN,5407,5566.1,5739.5,5960.5,6091.6,6206.3,6411.8,6609.6,6724.5,6927.1,7081,7247.5,NaN,NaN,7600.2,NaN,7799.1,7957.6,8123.1,8339.2,8468.4,8581.4,8779.9,8930.9,9044.4,9245.3,9393.2,9505.9,9695.2,9847.8,10013,NaN,NaN,10351,NaN,10552,10716,10889,11106,11237,11350,11532,NaN,11728,11892,12074,NaN,NaN,12431,12572,12685,12871,13025,13196,13416,13538,13655,13838,NaN,14036,14197,14375,14599,14726,14845,15053,15199,15311,15499
1799.5,2018.4,2179.5,2336.8,2513.1,2802.7,2945.3,3124.2,3285.9,3551.4,3731.6,3901.6,4071.5,4261.8,4447.7,4619.8,4778.7,NaN,NaN,5115.7,NaN,5352.3,5514.2,5665.9,5914.9,6036.1,6167.3,6329.2,6486.2,6686.1,6847.3,7026.9,7181.1,NaN,NaN,7503,NaN,7748.8,7903.9,8053.4,8303,8409.4,8546.3,8706.6,8855.9,9010.1,9163.4,9321.4,9469.8,9627.4,9798,9945.4,NaN,NaN,10269,NaN,10501,10656,10814,11066,11181,11314,11474,NaN,11679,11836,11990,NaN,NaN,12333,12499,12645,12809,12969,13126,13376,13487,13615,13777,NaN,13982,14142,14298,14560,14673,14800,14967,15142,15275,15437,15648
