-,n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e
1752.6,1980.5,2135.5,2293.8,2553,2749.3,2871.1,3200.3,3385.2,3507.8,3697.5,3851,4014,NaN,NaN,4342.3,NaN,4538.3,4690.6,4868.4,5087.3,5217.7,5330.7,5534.1,5715.3,5828.5,6018.4,6172.8,6332.4,NaN,NaN,6660,NaN,6854.3,7010.9,7185.5,7403.9,7526.7,7638.1,7831.2,7978.5,8089.8,8296,8437.8,8548.5,8738.6,8893.5,9056.3,NaN,NaN,9382.6,NaN,9578.7,9735.7,9917.2,10142,10265,10377,10552,NaN,10747,10906,11077,11293,11421,11533,11736,11876,11992,12204,12388,12507,12694,12846,13035,NaN,NaN,13391,NaN,13584,13744,13920,14141,14273,14390
1813.9,2060.9,2197.1,2358.9,2627,2813.9,2972.3,3271.1,3455.6,3620.7,3796,3950.2,NaN,NaN,4268,NaN,4488.8,4642.4,4787.3,5045.7,5165.1,5295.9,5451.7,5608.7,5790.7,5944.8,6123.1,6271.9,NaN,NaN,6588.8,NaN,6806.2,6962.4,7111.9,7364.4,7472.8,7603.5,7761,7906.7,8056.6,8210.4,8366.2,8520.4,8661.9,8846.1,8991.1,NaN,NaN,9316.8,NaN,9528.3,9682.2,9836,10098,10226,10346,10497,NaN,10701,10855,11004,11254,11368,11499,11656,11811,11953,12113,12279,12465,12630,12796,12947,NaN,NaN,13288,NaN,13536,13690,13843,14100,14216,14352,14513
