n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,d,m,p,n,n,e,c,x,d,m,p,a,b,c,x,d,m,p,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,n,n,e,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,d,m,p,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,n,n,e,n,n,e,a,b,c,n,e,n,n,e,n
1806.2,1983.4,2127.5,2303.2,2428.7,2828.7,2989.2,3110.5,3297.8,3449.6,3633.2,NaN,NaN,3973.5,NaN,4168.5,4322.6,4495.5,4711.2,4834.8,4945.9,5146.9,5283,5396.8,5576.7,5728.3,5883.2,NaN,NaN,6215.6,NaN,6411.4,6568.9,6774.2,NaN,NaN,7612.2,7757,7867.3,8049.8,8201.8,8381.7,NaN,NaN,8705.9,NaN,8900.9,9056.6,9218.3,NaN,NaN,10208,10362,10473,10672,10816,10929,11109,11260,11424,NaN,NaN,11749,NaN,11940,12097,12273,12488,12610,12720,12918,13055,13167,13351,13503,13678,13894,14019,14137,14361,14535,14653,14863,15015,15140,15327,15482,15664,NaN,NaN,16059,16245,16362,16543,NaN,16741,16904,17083,17300,17428,17541,17746,17898,18010,18195,18349,18519,NaN,NaN,18860,NaN,19056,19216,19426,NaN,NaN,19796,19947,20063,20246,NaN,20445,20606,20782,21002,21132,21249,21443,NaN,21644,21805,21987,NaN,NaN,22372,22612,22730,22923,23071,23190,23400,23569,23687,23872,NaN,24075,24250,24377,24592,24761,24884,25093
1873.6,2055,2197.2,2371,2530.3,2904.1,3062.8,3225.7,3399,3566,NaN,NaN,3884.1,NaN,4116.8,4267.5,4420.3,4672.7,4782.8,4908.2,5066.4,5230.2,5361.2,5515.6,5679.3,5825.9,NaN,NaN,6136.2,NaN,6361.6,6519.6,6669.2,NaN,NaN,7024.3,7679.9,7835.7,7986.5,8151.2,8301.7,NaN,NaN,8637.3,NaN,8853.2,9008.7,9154.9,NaN,NaN,9470.2,10284,10436,10592,10745,10891,11049,11206,11359,NaN,NaN,11685,NaN,11894,12042,12195,12448,12564,12686,12834,12994,13131,13282,13455,13606,13856,13966,14095,14255,14434,14610,14773,14936,15093,15262,15428,15581,NaN,NaN,15919,16134,16323,16485,NaN,16688,16843,17006,17258,17373,17504,17663,17822,17976,18127,18290,18446,NaN,NaN,18775,NaN,19003,19155,19314,NaN,NaN,19679,19869,20025,20184,NaN,20390,20548,20708,20962,21074,21209,21375,NaN,21593,21747,21906,NaN,NaN,22247,22446,22687,22853,23009,23150,23310,23474,23646,23809,NaN,24021,24170,24332,24499,24669,24834,25003,25166
