n,n,n,e,n,n,n,e,c,x,n,n,e,n,n,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e
1451.6,1982.9,2160.9,2295.8,2555.7,2821.3,2987.5,3110,3322.3,3474.6,4038.9,4185.2,4308.5,4526.4,5270.5,5565,5726,5841.8,6031.7,6181.2,6334.7,NaN,NaN,6657.4,NaN,6850.1,7002.4,7157.3,7370.6,7496,7603.9,7797.5,7948,8109.2,NaN,NaN,8443.2,NaN,8638,8789.9,8987.5,9206.6,9337.3,9452.3
1510.8,2051.9,2221.2,2397.5,2621.9,2894.5,3054.8,3225,3409.2,3568.7,4105.8,4258,4424.7,4597,5312,5633.3,5794.2,5954.7,6130.5,6274.7,NaN,NaN,6589,NaN,6797.5,6948.2,7094.6,7333,7442.9,7565.1,7724.2,7891.6,8045.6,NaN,NaN,8365.8,NaN,8589.2,8741.4,8885,9164.9,9279.7,9411.2,9569.9
