n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c
1967,2160.7,2326.7,2465.7,2779.2,2961.8,3083.1,3260.6,3408.7,3565.4,NaN,NaN,3890,NaN,4083.2,4233.7,4396.4,4620.3,4746.1,4855.8,5051.7,5201.1,5359.8,NaN,NaN,5681.6,NaN,5873.4,6029.6,6202.7,6415.8,6540,6650.7,6828.6,6978.2,7142,NaN,NaN,7462.8,NaN,7657.6,7812.9,7981.4,8200.4,8326.3,8441.1,8618.6,NaN,8811.2,8966.2,9155.2,NaN,NaN,9479.4,NaN,9673
2024.6,2249.6,2391.5,2568.8,2848.5,3031.4,3202.2,3357.3,3505.1,NaN,NaN,3825,NaN,4037.4,4178,4326.4,4574.1,4692.4,4819,4973.7,5148.3,5299.4,NaN,NaN,5610.7,NaN,5826.1,5988.5,6131.5,6379.1,6492.1,6613.4,6769.8,6930,7079.2,NaN,NaN,7394.8,NaN,7608.8,7762.3,7910.9,8158.3,8249.3,8401.7,8558.1,NaN,8763.5,8914.4,9072.9,NaN,NaN,9403.9,NaN,9628,9767.8
