n,n,n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,e,n,n,e,a,b,c,x,d,m,p,a,b,c,n,e,n,n,e,n,n,e,c,x,d,m,p
2517.8,2595.8,4349.9,4599.3,4758,4914.7,5078.5,5207.8,5557.3,5727.8,5856,6064.9,6227.5,6348.6,6527.5,6681.9,6833.5,NaN,NaN,7167.3,NaN,7361.4,7516.5,7680.3,7900.3,8028.7,8141.1,8321.9,8476.6,8637.2,NaN,NaN,8959.3,NaN,9151.7,9306.9,9483.6,9705.8,9831.6,9941.7,10144,10283,10395,10577,10730,10889,NaN,NaN,11215,NaN,11412,11570,11739,11959,12083,12194,12405,12552,12664,12846,12999,13164,NaN,NaN,13495,NaN,13693,13856,14018,14239,14369,14484,14667,NaN,14866,15026,15191,15412,15540,15855,16003,16117,16300,NaN,16496,16659,16831,NaN,NaN,17196,NaN,17394,17584,17704,17918,18129,18251,18479,18636,18755,18952,19112,19296,NaN,NaN
2561.9,2704.9,4456.4,4646.6,4850,4989.3,5147.3,5308.5,5632.3,5799,5970.5,6139.4,6301.9,6469.2,6634.8,6781.2,NaN,NaN,7087,NaN,7315.8,7462.8,7614.2,7864.6,7975.4,8101,8263.6,8427.6,8574.4,NaN,NaN,8888.8,NaN,9103.8,9251.8,9408.6,9661.7,9777.4,9904.3,10065,10214,10357,10517,10684,10832,NaN,NaN,11144,NaN,11359,11513,11668,11921,12032,12157,12312,12477,12626,12789,12949,13099,NaN,NaN,13423,NaN,13644,13805,13955,14200,14316,14449,14602,NaN,14816,14974,15126,15374,15491,15776,15931,16076,16243,NaN,16447,16606,16761,NaN,NaN,17091,NaN,17343,17500,17661,17830,17994,18210,18376,18555,18710,18879,19053,19213,NaN,NaN,19558
