-,-,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p
1994.1,3027,3354.4,3522.8,3633.8,3885.4,4068.9,4190.4,4384.2,4532.3,4697.9,NaN,NaN,5024.5,NaN,5214.3,5367.8,5534,5746.8,5872.1,5989.5,6173.5,6321.3,6488.4,NaN,NaN
2036.4,3096.9,3436.7,3593.3,3745,3955.5,4142.3,4306.3,4484.6,4627.8,NaN,NaN,4947.8,NaN,5167.7,5317.2,5461.7,5710.4,5821.5,5946.9,6110.8,6266.4,6419.8,NaN,NaN,6745
