n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,n,n,e,a,b,c,x
1967.5,2135.8,2275.4,2526.8,2701.6,2826.1,3010.5,3158.6,3322,NaN,NaN,3644.7,NaN,3838.7,3990.8,4166.7,4377.6,4502,4614.5,4810.5,4950.5,5060.5,5236.3,5387.2,5543.8,NaN,NaN,5877.2,NaN,6069.8,6226.9,6411.9,6626.7,6752,6864.8,7064.2,NaN,7258.2,7420.8,7579.7,NaN,NaN,7933.9,NaN,8127.7,8285.8,8462,8673.9,8798.6,8908.8,9103.9,NaN,9303.5,9463.4,9634.3,9858.9,9980,10093,10295,10450,10566,10781,10924,11037,11223,11377,11567,NaN,NaN,11912,12125,12249,12428,NaN,12623,12780
2027.9,2211.2,2383.7,2618.9,2774,2941.6,3112.3,3257,NaN,NaN,3572.3,NaN,3789.7,3939.9,4087.6,4338.6,4448.6,4577.9,4733.3,4879.5,5025.9,5185.9,5337.7,5485.8,NaN,NaN,5795.4,NaN,6020.6,6174.4,6327.3,6587.8,6698.3,6829.6,6986.9,NaN,7206.9,7359.3,7517.5,NaN,NaN,7834.2,NaN,8077.2,8231.9,8384.5,8638.7,8746,8873,9029.3,NaN,9250.2,9402.6,9562.4,9813.5,9922.7,10056,10214,10366,10525,10684,10851,11001,11154,11320,11477,NaN,NaN,11819,11982,12200,12369,NaN,12569,12726,12881
