n,n,n,n,e,n,n,e,c,x,d,m,p,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x
2489.9,2999.7,3148.2,3311.3,3438.8,3678,4226.2,4494.5,4692.3,4838.3,4975.2,NaN,NaN,5375.7,5503,5669.8,5846.3,5995.2,6153.7,NaN,NaN,6479.5,NaN,6666.3,6815.8,6981.3,7192.5,7314.2,7423.7,7619.3,7792.5,7906.4,8088.6,8238.1,8393.4,NaN,NaN,8737.2,NaN,8925.6,9079.7,9244.1,9456,9580.5,9688.9,9865.2,10019,10193,NaN,NaN,10548,10682,10791,10996,11129,11239,11415,11567,11729,NaN,NaN,12063,NaN,12257,12412,12578,12792,12910,13018,13194,NaN,13389,13547
2731,3073.4,3217.6,3378.4,3568.2,3755.8,4440,4613.5,4793,4945.1,NaN,NaN,5237.5,5446.9,5624.5,5789.7,5945.2,6087.4,NaN,NaN,6407.2,NaN,6619.1,6761.2,6908.3,7152.8,7261.8,7388.1,7549.4,7690.1,7866.9,8024.5,8191.2,8334.3,NaN,NaN,8645.4,NaN,8883.1,9026.3,9171.4,9419.6,9526.1,9655.9,9804.5,9983.5,10114,NaN,NaN,10442,10618,10756,10912,11068,11206,11358,11518,11663,NaN,NaN,12013,NaN,12205,12360,12509,12754,12865,12985,13139,NaN,13340,13488,13641
