n,n,n,n,e,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e
1854.5,1991,2141.3,2306.8,2431.2,2681.4,3151.8,3331.2,3448.9,3671.9,3817.8,3937.8,4125.3,4282,4447.3,NaN,NaN,4775.8,NaN,4972.5,5128.8,5321.4,5544.8,5674.3,5790.7,6006.9,6159.1,6285.7,6509.2,6651.7,6767.7,6984,7141.5,7253.7,7437.5,7593.5,7768.6,NaN,NaN,8100.3,NaN,8294.4,8448.9,8611.7,8900.8,9058.9,9174.2
1910.4,2065.4,2210.4,2373,2537.9,2745.8,3223.2,3402.5,3564.2,3772.2,3895.2,4056.2,4230.6,4383.4,NaN,NaN,4711.9,NaN,4922.9,5079.1,5227.3,5499.3,5619.1,5748.7,5911,6081.8,6232.9,6407.7,6587.2,6722.1,6886.6,7056.2,7213.3,7373.8,7544.2,7694.2,NaN,NaN,8028.6,NaN,8250.7,8397.1,8544.8,8789.6,8975.1,9138.2,9297.8
