-,g,n,g,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g
1965.4,2514.6,2699,2819.5,3048.9,4008.9,4169.3,4293.6,4569.2,4750.4,4863.7,5054.8,5204.7,5383,NaN,NaN,5707.2,NaN,5902.4,6059.7,6226.1,6446.1,6573.6,6690.7,6895.9,7044.4,7154.3,7333.2,7484,7641.1,NaN,NaN,7969.5,NaN,8162.5,8319.6,8496.3,8711.5,8833.5,8942.9,9129.2,9285.4,9450.9,NaN,NaN,9779.3,NaN,9974.6,10127,10309
2136.7,2593,2741.8,3013.2,3187.6,4130.5,4234.6,4405.5,4638,4821.3,4983.1,5147.3,5302.6,NaN,NaN,5637.8,NaN,5854.8,6007.2,6176.4,6404.1,6528.1,6649.9,6812.2,6969.1,7118.2,7272.4,7446.7,7582.6,NaN,NaN,7893.4,NaN,8116.9,8264.2,8417.5,8674.3,8784.2,8909.5,9060.9,9236.8,9385.8,NaN,NaN,9705.2,NaN,9925.2,10073,10226,10482
