n,n,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,n,n,e,n,n,e,n,n,e,n
1980.6,2146.2,2269.8,2479.3,2662.9,2773.8,2960.3,3109.6,3261.6,NaN,NaN,3590.8,NaN,3784.9,3936.8,4104.5,4316.1,4448.2,4559.9,4737.5,4891.4,5048.3,NaN,NaN,5368.1,NaN,5559.4,5710.3,5878.4,6225.5,6353.7,6469.9,6656.1,NaN,6855.2,7012.2,7185.6,NaN,NaN,7514.2,NaN,7704.8,7860.4,8027,8243.3,8369.9,8482.1,8684.2,8826.3,8939.1,9118.5,9271.4,9443.5,NaN,NaN,9792.1,9986.1,10099,10308,10485,10597,10805,10950,11066,11277
2051.8,2217,2430,2551.7,2736.1,2894,3061.5,3207.5,NaN,NaN,3507,NaN,3736,3886,4035.3,4281.1,4389.8,4521,4680.3,4841.4,4985.5,NaN,NaN,5300.2,NaN,5515.2,5663.4,5808.9,6053.5,6302.2,6429.7,6587.7,NaN,6800.8,6961.5,7131.3,NaN,NaN,7437.4,NaN,7658.1,7808.9,7957.3,8205.5,8318.2,8446.9,8600.5,8766.3,8902.2,9064.2,9223.4,9369,NaN,NaN,9692.5,9860.2,10066,10219,10381,10558,10718,10879,11030,11186,11350
