n,n,n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,n,e,a,b,c,x,g,n,n,e,n
1970.7,2446.9,2607.3,2774.7,3014.2,3336.1,3503.9,3619,3852.9,4026.8,4149.2,4326.8,4477.4,4634.4,NaN,NaN,4967.2,NaN,5160.7,5313.8,5485.3,5697.8,5823.3,5936.8,6122.7,6274.9,6433.6,NaN,NaN,6761,NaN,6954.7,7113.3,7277.7,7493.6,7619.8,7734.5,7941.2,8078.5,8193.2,8409,8536.1,8670.3,8783.5,8970.8,9126.2,9289.4,NaN,NaN,9630.4,NaN,9824.6,9981.4,10157,10372,10501,10614,10799,NaN,10996,11151,11326,11548,11751,11902,12024,12215,NaN,12412,12571,12746,12968,13094,13208,13422
2025.3,2482.9,2666.8,2833.5,3089.4,3407.6,3572.5,3730.1,3919.9,4099.6,4263.4,4426.5,4573.6,NaN,NaN,4889.8,NaN,5110.2,5256.9,5412.8,5662.9,5769.2,5901.5,6062.2,6224.5,6372.8,NaN,NaN,6689.1,NaN,6905.1,7059.4,7207.4,7455,7567.6,7698.3,7855.8,8026.4,8158.5,8312.7,8464.4,8607.6,8749.3,8912.1,9073.7,9225.6,NaN,NaN,9541.8,NaN,9778.2,9927,10080,10335,10450,10578,10740,NaN,10945,11101,11251,11508,11621,11831,11983,12149,NaN,12365,12514,12671,12927,13042,13171,13334,13495
