n,n,e,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n
1814.8,1986.6,2123.2,2370.2,2594.1,2726.6,3614.2,3786.5,3920.6,4168.4,4384.7,4508.5,4697.1,4845.5,5001.4,NaN,NaN,5364.8,NaN,5562.1,5717.9,6736.9,6910.5,7037.6,7245.2,7437.7,7561.6,7742.9,7899.3,8059.7,NaN,NaN,8403.6,NaN,8599.7,8754,8938.7,9156.9,9287.8,9405,9600,9756.1,9920.9,NaN,NaN,10273,NaN,10474,10630,10820,11043,11172,11287,11510
1908.6,2052.9,2229.5,2435.4,2661.5,2836.5,3683.2,3857.7,4029.9,4240.4,4457,4629,4794,4943.2,NaN,NaN,5260.3,NaN,5512.5,5667.7,5814.3,6806.6,6983,7156.9,7314,7509.9,7682.6,7853.1,8000.8,NaN,NaN,8318.1,NaN,8550.7,8699.4,8853.8,9114.9,9228.7,9365.8,9524.2,9706,9854.8,NaN,NaN,10181,NaN,10424,10574,10731,11004,11125,11251,11410,11576
