n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,n,e,a,b,c,x,d,m,p,n,n,n,e,a,b,c,x,d,m,p,n
3198.7,3376.1,3485.4,3697.4,3884.1,4017,4241.3,4411.1,4529,4714.9,4871.3,5029.5,NaN,NaN,5374.5,NaN,5572.4,5726.8,5896.2,6119.9,6247.7,6364,6577,6723.1,6840.9,7020.8,7179.4,7351.6,NaN,NaN,7692.6,NaN,7888.2,8046.4,8233.9,8531.6,8678.3,8792.1,8984.8,9137.4,9298.9,NaN,NaN,9630.5,NaN,9828.3,9986.4,10163,10386,10514,10628,10829,10975,11087,11294,11436,11550,11739,11897,12075,NaN,NaN,12414,NaN,12612,12774,12959,13190,13321,13435,13622,NaN,13821,13983,14169,14396,14531,14647,14829,NaN,15033,15215,15364,15554,NaN,15760,15922,16104,NaN,NaN,16491,16758,16948,17086,17299,NaN,17504,17663,17857,NaN,NaN,18255
3272.9,3446.1,3601.2,3773,3958.2,4133.4,4318.4,4487.2,4653.6,4825.7,4972.4,NaN,NaN,5294.3,NaN,5525.9,5671.9,5826.6,6081.8,6198.6,6324.3,6489.5,6652.5,6806,6966.2,7130,7281.9,NaN,NaN,7619.8,NaN,7839.4,7995.9,8148.9,8417.9,8605.1,8760.1,8919.1,9090.6,9238.5,NaN,NaN,9555.5,NaN,9779.5,9922.8,10095,10346,10477,10592,10774,10906,11052,11213,11383,11516,11680,11849,11998,NaN,NaN,12341,NaN,12563,12719,12876,13146,13269,13400,13560,NaN,13773,13929,14087,14358,14474,14614,14772,NaN,14980,15140,15299,15489,NaN,15709,15869,16026,NaN,NaN,16367,16566,16833,17012,17211,NaN,17455,17615,17768,NaN,NaN,18123,18329
