n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n
1975.4,2160.2,2308,2476.8,2606.1,2852.5,3001.4,3127.8,3315.8,3465.1,3619.7,NaN,NaN,3942.9,NaN,4135.5,4290.7,4452.3,4666.8,4793.7,4904.9,5110.9,5244.1,5358.6,5547.5,5696.5,5858.8,NaN,NaN,6183.1,NaN,6376,6533.2,6702.5,6923.1,7046.8,7162.4,7362.3,7495.8,7606.5,7787.6,7940.9,8115,NaN,NaN,8439.7,NaN,8635.8,8795.4,9011.2,NaN,NaN,9343.5,NaN,9535.9,9696.8,9876.6,10091,10222,10337,10543,10694,10805,11055,11210,11322,11526,11674,11789,11973,12130,12358,NaN,NaN,12686,NaN,12880,13039,13204,13422,13553,13668,13852,NaN,14046,14202,14382,NaN,NaN,14767
2030.4,2239.4,2383.4,2549,2712.8,2928.1,3078.2,3247,3415.5,3563.8,NaN,NaN,3881.8,NaN,4088.8,4238.1,4386.7,4632,4738.1,4871.8,5027.5,5198.4,5319.5,5478.9,5646.2,5794.1,NaN,NaN,6132.5,NaN,6331.3,6480,6630.2,6883.1,6998.1,7122,7286.2,7437.3,7569.7,7728,7886.1,8041.3,NaN,NaN,8373.7,NaN,8587.8,8740.5,8893,NaN,NaN,9266.1,NaN,9489.3,9642.4,9796.4,10053,10165,10296,10461,10634,10767,10926,11129,11286,11445,11613,11747,11907,12078,12231,NaN,NaN,12611,NaN,12833,12982,13135,13382,13498,13627,13787,NaN,13999,14153,14301,NaN,NaN,14651,14837
