g,c,g,g,g,g,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,n,e,c,x,d,m,p,n,n,e,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x,d,m,p,n,n,e,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,a,b,c,x
1986.4,2090.2,3227.8,3459.9,3805.4,3922.6,4110.1,6301.7,6459.1,6606.2,6737.9,7260.5,7441,7594.2,7808.7,7962.2,8087,8272.3,8427.6,8590.6,NaN,NaN,8912.6,NaN,9108.7,9264.2,9431.7,9653.7,9860.8,10002,10116,10297,10451,10619,NaN,NaN,11033,11209,11324,11516,11667,11848,12063,12185,12301,12500,12646,12760,12967,13115,13228,13413,13565,13744,NaN,NaN,14071,NaN,14261,14419,14584,14797,14927,15040,15246,15399,15515,15693,NaN,15888,16046,16218,NaN,NaN,16567,16702,16815,17007,17162,17331,17548,17673,17789,17982,NaN,18177,18339,18527,NaN,NaN,18897,19087,19204,19390,NaN,19582,19741
2055.6,2165.4,3403.4,3561,3863.8,3969.5,4187.8,6373.2,6510.6,6673.8,6845,7331,7508.5,7704.8,7899.4,8034.6,8209.6,8372.5,8525.8,NaN,NaN,8848.1,NaN,9061,9212.2,9363.5,9611.2,9720.8,9937,10077,10238,10402,10545,NaN,NaN,10870,11103,11284,11443,11613,11764,12025,12136,12258,12419,12572,12723,12876,13042,13189,13352,13504,13664,NaN,NaN,14002,NaN,14215,14357,14516,14758,14871,15005,15162,15315,15476,15631,NaN,15837,15990,16144,NaN,NaN,16469,16635,16777,16939,17104,17262,17507,17622,17754,17915,NaN,18128,18283,18440,NaN,NaN,18783,18971,19163,19324,NaN,19536,19678,19839
