n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,n
1987,2148.6,2260.3,2512.5,2672.7,2785,2965.7,3114.5,3264.8,NaN,NaN,3582.3,NaN,3772.6,3926.8,4081.7,4293.1,4418.2,4529.8,4730.6,4859.7,4971,5154.4,5302.6,5456.3,NaN,NaN,5780.5,NaN,5974.7,6125.8,6293.5,6509.9,6634.2,6746,6949.9,7084.5,7197.1,7383.7,7535,7711.3,NaN,NaN,8034.5,NaN,8227.7,8385.4,8567.9,8785.8,8911.8,9021.9,9221.2,9357.9,9470.3,9651.3,9803,9966.9,NaN,NaN,10290,NaN,10484,10643,10863,NaN,NaN,11242,NaN,11438,11594,11777,11995,12120,12236,12463
2085.3,2215.2,2370.4,2585.8,2745.8,2906.9,3065.9,3210.8,NaN,NaN,3519.9,NaN,3726.5,3881.8,4021.6,4258.2,4369.2,4499.2,4651.5,4804.1,4935.6,5099.4,5267.8,5398,NaN,NaN,5715.4,NaN,5925.8,6076.6,6224.1,6473.6,6583.7,6706.7,6866.6,7022.4,7158.2,7314.8,7483.5,7632.8,NaN,NaN,7965.6,NaN,8180.9,8336.1,8483.6,8750.7,8875.1,8986.2,9131.8,9293.4,9434.5,9604.8,9733.9,9893.6,NaN,NaN,10218,NaN,10435,10589,10742,NaN,NaN,11116,NaN,11389,11536,11691,11958,12068,12197,12358,12534
