n,n,n,n,e,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x,d,m,p,n,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,g,n,n,n,e,a,b,c,x,d,m,p,n,n,e,n,n,e,a,b,c,x,d,m,p
1862.4,1995.3,2140.3,2324,2457.7,2738,3001.8,3190.5,3317.7,3566.2,3737.2,3868.2,4113.4,4271.1,4431.7,NaN,NaN,4785.9,NaN,4991.8,5150.2,5326.4,5549.8,5679.3,5795.3,6014.3,6169,6285.8,6474.3,6628.3,6794,NaN,NaN,7130.6,NaN,7329.8,7486.9,7660.1,7883.4,8012.1,8125.2,8336.3,8483.2,8609.9,8801.3,NaN,8999.8,9161.6,9343.2,NaN,NaN,9748,10008,10151,10262,10455,10613,10789,NaN,NaN,11138,NaN,11338,11501,11689,11910,12042,12159,12374,12528,12643,12867,13025,13205,13431,13692,13885,14029,14217,NaN,14420,14586,14801,NaN,NaN,15171,15350,15467,15700,15853,15979,16169,NaN,16372,16538,16728,NaN,NaN
1925.7,2068.4,2211.4,2387.8,2567.2,2806.5,3073.4,3262.4,3436.4,3637.1,3813.4,3993.2,4216.1,4369.8,NaN,NaN,4693.1,NaN,4938.1,5096.8,5249.3,5508.6,5637.3,5752.6,5918.5,6088.3,6240.3,6407.6,6579.8,6732.1,NaN,NaN,7062.1,NaN,7282.9,7432.7,7587.2,7844.2,7960.4,8089.4,8247.2,8406.9,8559.8,8734,NaN,8948.8,9099.7,9270.1,NaN,NaN,9602.6,9817.8,10080,10224,10386,10563,10721,NaN,NaN,11054,NaN,11286,11445,11604,11875,11986,12116,12284,12447,12608,12770,12975,13135,13390,13505,13761,13959,14153,NaN,14370,14529,14696,NaN,NaN,15060,15243,15423,15591,15769,15931,16105,NaN,16318,16480,16642,NaN,NaN,16986
