n,n,n,n,n,n,e,n,n,e,c,x,d,m,p,n,n,e,n,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,n,e,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c
1170.6,1338.1,1838.6,1984.9,2136.9,2307.3,2445,2706.2,2882.2,3013,3235.5,3390.3,3549.5,NaN,NaN,4161,4321,4437.3,4670.3,5450.8,5618.7,5735.4,5918.2,6070.1,6231.3,NaN,NaN,6564.2,NaN,6759.7,6910.2,7078.7,7394,7667.8,7807.6,7922.5,8112.5,8267.4,8438.8,8657.4,8787.5,8903.9,9087.6,9242.7,9400.1,NaN,NaN,9736.1,NaN,9931.5,10090,10259,10482,10618,10730,10913,NaN,11108,11265,11436,NaN,NaN,11781,NaN,11976,12139,12321,12541,12667,12781,12967,NaN,13165,13325,13517,NaN,NaN,13872,14010,14123,14311,14466,14649,14873,15001,15115,15296,NaN,15493,15655,15838,16060,16191,16307,16498,NaN,16697
1229.2,1390.7,1891.4,2061.9,2206.2,2371.3,2554.1,2826.5,2956.5,3135.2,3338.4,3487,NaN,NaN,3807.9,4241.3,4397.6,4563.8,4748.4,5548.6,5694.6,5860.5,6020,6169.8,NaN,NaN,6508,NaN,6712.5,6857.1,7028.2,7255.6,7468.1,7765,7884.6,8048.2,8217.9,8364.3,8620.1,8732.7,8863.7,9025.2,9196.4,9341.2,NaN,NaN,9661.2,NaN,9882,10037,10190,10440,10554,10692,10853,NaN,11061,11213,11368,NaN,NaN,11690,NaN,11929,12082,12240,12502,12615,12745,12906,NaN,13118,13270,13425,NaN,NaN,13774,13956,14087,14252,14405,14565,14826,14946,15078,15240,NaN,15447,15603,15758,16022,16132,16271,16432,NaN,16648,16766
