-,-,n,n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n
1999,2505.8,3112.2,3264.7,3425.9,3571.2,3854.8,4027.8,4170.3,4646.8,4810.8,4937.3,5128.5,5280.2,5440.1,NaN,NaN,5768.2,NaN,5964.8,6118.1,6288.4,6499.3,6620.8,6732.1,6928.1,7068.1,7179.8,7358.3,7512.6,7672,NaN,NaN,8015.3,NaN,8210.2,8366.1,8545.3,8763.4,8885.7,8996.8,9192.2,9341,9450.9,9634.3,9785.7,9946.8,NaN,NaN,10279,NaN,10474,10635,10810,11028,11153,11264,11446,NaN,11642,11800,11976,NaN,NaN,12331,12473,12588,12786,12924,13039,13224,13377,13539,NaN,NaN,13887,NaN,14084,14247,14430,14740,14908,15020,15205,NaN,15403,15565,15732,15953,16076,16189,16376,NaN,16574,16738,16906,NaN,NaN,17277
2088.4,2580.9,3145.7,3336.6,3484.7,3630.6,3929.4,4097.2,4281,4719.4,4887.2,5054.5,5227.7,5375.8,NaN,NaN,5696.9,NaN,5917.8,6069.6,6218.5,6463.8,6571.4,6696.3,6852.5,7001.2,7143.6,7300.1,7464.2,7614.7,NaN,NaN,7932.5,NaN,8161.2,8307.7,8464.6,8723.5,8835.1,8961,9118.5,9266.8,9418.5,9570.2,9735.9,9885.4,NaN,NaN,10202,NaN,10423,10587,10733,10993,11103,11229,11389,NaN,11595,11745,11897,NaN,NaN,12239,12402,12553,12709,12871,12999,13163,13326,13479,NaN,NaN,13796,NaN,14032,14186,14347,14608,14813,14983,15142,NaN,15351,15509,15663,15914,16024,16153,16312,NaN,16523,16677,16833,NaN,NaN,17167,17347
