n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,d,m,p,n,n,e,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x,d,m,p,a,b,c,x,d,m,p,n,n,e,n,n,e,n,n,e,a,b,c,x,d,m,p,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p
1832.8,1978.5,2143.7,2288.8,2467.5,2600.5,3068.2,3243.5,3377,3578.9,3732.1,3899.8,NaN,NaN,4243.5,NaN,4442.3,4602.9,4786.1,5007.6,5135,5255.6,5478.7,5635.4,5749.8,5933.9,6088.7,6250.5,NaN,NaN,6581.1,NaN,6778.5,6944,7172,NaN,NaN,7522.9,7712.6,7826.1,8018.2,NaN,8219.9,8385.7,8553.9,8775.4,8902.8,9017.6,9221,9368.7,9481.1,9660.9,NaN,9859.3,10018,10207,NaN,NaN,10547,NaN,10747,10906,11084,NaN,NaN,11492,11644,11758,11964,12112,12229,12433,12584,12701,12898,NaN,13101,13261,13473,NaN,NaN,13836,13975,14090,14274,NaN,14475,14637,14860,NaN,NaN,15205,NaN,15410,15571,15753,15974,16106,16223,16413,NaN,16615,16775,16961,17175,17299,17412,17598,NaN,17803,17964,18130,NaN,NaN
1885.3,2034.6,2177.9,2352.2,2533.5,2708,3139.8,3316.7,3493,3675.8,3831,NaN,NaN,4161.5,NaN,4390.3,4550,4707.9,4965.1,5101.8,5209.3,5378.1,5548.7,5711.5,5874.5,6036.3,6187.6,NaN,NaN,6525.3,NaN,6730.1,6886.2,7043.8,NaN,NaN,7442.3,7594.8,7784.2,7948.8,NaN,8167.6,8323.3,8492.9,8733.1,8848.3,8980.4,9139.9,9293.3,9445.6,9604.7,NaN,9807.4,9957.7,10128,NaN,NaN,10459,NaN,10696,10847,11002,NaN,NaN,11340,11563,11720,11885,12036,12184,12348,12501,12661,12819,NaN,13048,13209,13377,NaN,NaN,13727,13916,14052,14213,NaN,14423,14582,14741,NaN,NaN,15118,NaN,15355,15517,15669,15929,16046,16181,16343,NaN,16564,16709,16875,17146,17244,17379,17533,NaN,17751,17908,18061,NaN,NaN,18378
