-,-,-,-,-,-,-,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p
1296.8,1998.9,2308.9,2649.7,3554.4,3879.4,4426.2,4855.1,5002.7,5181.6,5302.6,5781.9,5936.2,6048.5,6224.9,6374.4,6532.5,NaN,NaN,6850.2,NaN,7042.4,7191.9,7354.3,7566.3,7688.8,7799.9,7985,8138.6,8297.2,NaN,NaN
1332.4,2135.8,2385.5,2832.7,3652.2,3981.4,4491.9,4922.3,5079.1,5238.8,5404.2,5852.2,6006.8,6167.4,6323.8,6466.9,NaN,NaN,6787.3,NaN,6997.3,7140,7309.6,7524.9,7635.6,7766.7,7920.7,8099.9,8234.9,NaN,NaN,8547.9
