n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x,d,m,p
1814.9,1972.9,2131.8,2292.9,2423.6,3285.8,3462.4,3584.4,3793.2,3972.8,4097.1,4281.1,4435.4,4590.7,NaN,NaN,4922.8,NaN,5122.9,5282.9,5463.4,5686.8,5814.2,5928.3,6131.9,6279.3,6397.6,6583.2,6740.2,6899.9,NaN,NaN,7236.7,NaN,7434.2,7590.4,7759.3,7981.8,8110.6,8224.4,8427.8,8575.1,8688.7,8879.9,9035.9,9197.3,NaN,NaN,9534.8,NaN,9731.2,9893.7,10069,10290,10416,10528,10729,10872,10985,11170,11325,11490,NaN,NaN,11823,NaN,12020,12180,12355,12574,12705,12820,13027,13173,13286,13475,NaN,13674,13832,14007,NaN,NaN
1892.7,2048.2,2198.1,2358.1,2527.6,3356.1,3532.4,3740.1,3863.5,4045.5,4218.5,4382.4,4533.1,NaN,NaN,4856.6,NaN,5073.4,5235.5,5397.7,5645.5,5761.9,5886.5,6046.9,6204.1,6349.9,6523.2,6690.3,6846.4,NaN,NaN,7156.2,NaN,7384.2,7537,7691.4,7940.8,8058,8183.3,8346.3,8504.9,8649.4,8811.4,8983.1,9141.7,NaN,NaN,9459.4,NaN,9682.4,9854.2,10002,10251,10363,10497,10651,10800,10948,11102,11289,11440,NaN,NaN,11745,NaN,11971,12129,12279,12533,12648,12778,12944,13098,13252,13410,NaN,13623,13775,13930,NaN,NaN,14265
