c,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,d,m,p,n,n,e,n,n,e,n,n,e,c,x,g,n,n,e
1767.8,1956,2108.1,2270,2410.6,2663.3,2774.5,2984,3286.2,3452.4,3568,3772,3926.5,4098.9,NaN,NaN,4442.4,NaN,4655.5,4816.2,5003.9,5232.7,5361.8,5477.1,5680.3,5824.7,5939.2,6127.6,6284,6450.1,NaN,NaN,6783.3,NaN,6982.8,7142.4,7326.5,7546.6,7673.7,7786.9,7972,NaN,8165.2,8321.6,8493,8718.8,8849.4,8964.8,9154.9,NaN,9351.8,9507.5,9700.1,NaN,NaN,10052,NaN,10250,10412,10643,NaN,NaN,11006,11161,11276,11486,11641,11755,11991,12146,12259,12446,12604,12783,13000,13128,13240
1861.3,2025.8,2169.6,2331.8,2514.5,2736.6,2902.2,3090.7,3356.5,3526.3,3691.2,3870.3,4037.7,NaN,NaN,4356.9,NaN,4595.7,4754.8,4917.9,5187.1,5301.7,5437.2,5598.5,5751.8,5899.7,6062.7,6233,6388.3,NaN,NaN,6706.5,NaN,6931.7,7080.2,7242.6,7508.2,7619.4,7745.5,7910.3,NaN,8118,8268.7,8423.4,8675,8792.5,8924.1,9087.8,NaN,9304.3,9459.6,9611,NaN,NaN,9954.6,NaN,10199,10359,10514,NaN,NaN,10900,11077,11232,11398,11559,11723,11874,12062,12217,12378,12547,12704,12967,13077,13201,13352
