n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,d,m,p,a,b,c,n,e,n,n,e,n,n,e,n,n,e,c,x,d,m,p
2201.2,2366.4,2482.6,2716,2900.3,3020.7,3309.8,3466.8,3584.8,3766.2,3917,4077.8,NaN,NaN,4407.8,NaN,4601.5,4764.6,4937.3,5148.1,5274.7,5387.1,5586.6,5734.7,5848.9,6041.5,6194.4,6381.2,NaN,NaN,6699.8,NaN,6893.9,7056.9,7247.8,NaN,NaN,7575,NaN,7771,7984.2,8114.4,8323.2,8472.1,8588,8786.8,8931.8,9046.5,9254.3,9394,9507.9,9694.5,9848,10013,NaN,NaN
2272.4,2440,2592.6,2785.7,2976.4,3137.1,3379.2,3544.9,3704.8,3868.7,4016.2,NaN,NaN,4330.3,NaN,4549.9,4706.9,4863.2,5111.8,5220,5355,5505.6,5658.3,5813.9,5967.6,6145.8,6295.7,NaN,NaN,6632.5,NaN,6845.6,6996,7157.1,NaN,NaN,7501.9,NaN,7721.3,7876.4,8045.2,8232.5,8400.7,8548,8713.2,8859.1,9007.8,9165.8,9331.2,9471.8,9631.7,9795.2,9946.7,NaN,NaN,10266
