n,n,n,n,n,e,n,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c
1795.8,1969,2121.8,2991.6,3169.2,3295.9,3538.4,4020.7,4181.6,4298.1,4472.5,4624.1,4768.6,NaN,NaN,5121.2,NaN,5311.5,5462.4,5634.2,5850.4,5975.1,6091.4,6274.4,6425,6595.5,NaN,NaN,6925.9,NaN,7115.4,7269.6,7436.8,7649.2,7896.6,8094.8,8233.5,8342.8,8519.7,8672.7,8836.7,NaN,NaN,9174.6,NaN,9366.8,9522.6,9698,9916.4,10042,10156,10336,NaN,10530,10685,10854,11075,11205,11319,11505,NaN,11697,11855,12028,12248,12371,12485,12686,12825,12938,13120,13275,13450,NaN,NaN,13784,NaN,13979
1848.3,2035.7,2181.9,3059.6,3233.6,3401.4,3600.2,4093.7,4253.5,4414.2,4569.7,4718.2,NaN,NaN,5031.2,NaN,5266,5409,5553.8,5809.3,5934.4,6050.6,6211.3,6375.5,6521.8,NaN,NaN,6847.3,NaN,7081.2,7219.4,7369.2,7616,7853.2,8018,8164.9,8309.8,8466.6,8621.7,8771.8,NaN,NaN,9092.3,NaN,9318.5,9470,9620.4,9875.4,10008,10118,10274,NaN,10479,10634,10783,11036,11149,11280,11439,NaN,11651,11802,11954,12208,12320,12449,12603,12756,12902,13057,13223,13375,NaN,NaN,13703,NaN,13930,14059
