n,n,e,n,n,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,-
1993.6,2178.3,2306.5,2530.3,2706.3,2938.4,3105,3222.4,3412.7,3566.8,3731.2,NaN,NaN,4068.8,NaN,4265.2,4419.9,4592.8,4813,4938.6,5054.2,5244.8,5402.5,5566.2,NaN,NaN,5902,NaN,6103.3,6264.3,6435.1,6656.7,6784.5,6900.1,7565.5,7725,7838.9,8020.7,8175.7,8337.4,NaN,NaN,8673.2,NaN,8874.4,9038.6,9213.5,9435.4,9564.8,9682.1,9887.4,10603
2063.2,2250.8,2419.8,2603.7,2779.5,3011.8,3183,3343.8,3514.6,3664.2,NaN,NaN,3991.1,NaN,4217.4,4368.3,4524.8,4773.4,4885.5,5017.7,5173.7,5351,5505.9,NaN,NaN,5827.5,NaN,6053.4,6208,6365.6,6618.4,6730.3,6862.7,7017.9,7640.2,7802.3,7958.9,8124.9,8276.7,NaN,NaN,8596.8,NaN,8822.3,8979.4,9140,9399.8,9512.5,9640.1,9803.6,9960.1,10634
