n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n
1994.7,2790.2,3121.5,3555.9,3735.5,3869.2,4085.2,4285.1,4409.9,4634,4801,4934.1,5121.5,5283.8,5443.2,NaN,NaN,5799.6,NaN,6007,6169.9,6371.9,6598.4,6729.7,6851.1,7105.3
2076.4,2871,3200.1,3633.3,3811.2,3989.3,4163.9,4359.6,4539.3,4708.9,4879.8,5058.2,5231.7,5385.1,NaN,NaN,5712.2,NaN,5950.6,6114.1,6284.9,6560,6674.4,6808.9,6975.4,7179.2
