c,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n
1857.1,1988.6,2136.4,2293.2,2417.9,2848.8,3021.4,3143.3,3336.7,3511.3,3629.3,3809.3,3958,4112,NaN,NaN,4479.2,NaN,4669.4,4819.5,4993.7,5207.9
1907.8,2061.2,2203.9,2360.2,2523.6,2921.4,3088.7,3259,3407.4,3585,3747.4,3910.2,4065.1,NaN,NaN,4362.5,NaN,4620,4767.2,4917.1,5169.6,5244.5
