n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,n,n,e,a,b,c,x
2711.1,2848.5,3248,3672.6,3856.7,3986.4,4594.2,4749.1,4877,5093.9,5264.4,5384.4,5578.3,5729.1,5918.1,NaN,NaN,6257.1,NaN,6451.9,6609.9,6789.6,7012.1,7144.2,7258.6,7468.7,7613.5,7728.5,7911.3,8067.3,8230,NaN,NaN,8557.9,NaN,8758.3,8916.1,9088.1,9313.6,9439.2,9552.8,9764.1,9925.2,10042,10256,10396,10509,10691,10844,11006,NaN,NaN,11375,NaN,11569,11727,11891,12109,12234,12348,12532,NaN,12729,12886,13068,NaN,NaN,13431,13576,13694,13941,14089,14205,14394,NaN,14594,14752
2759.8,3110.4,3473.7,3744.1,3926.3,4090.1,4664.9,4817.8,4985.5,5163.6,5340.2,5502,5674.8,5827.8,NaN,NaN,6176.6,NaN,6403.9,6560.6,6709.4,6971.2,7086.3,7219.4,7376.2,7541,7687.1,7847.5,8016,8165.3,NaN,NaN,8486.7,NaN,8709.4,8867.9,9014.8,9271.2,9388,9513.6,9672.2,9835.7,10000,10164,10330,10476,10630,10788,10944,NaN,NaN,11262,NaN,11521,11671,11827,12070,12179,12311,12471,NaN,12680,12834,12984,NaN,NaN,13323,13500,13654,13814,14012,14169,14323,NaN,14544,14701,14852
