n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x
1973.1,2100,2246.2,2380.1,2521.8,2756.2,2951.6,3077.9,3428.2,3615.6,3736.4,3952.4,4104.6,4265.8,NaN,NaN,4601.8,NaN,4798.5,4953.5,5130.4,5352.9,5483.5,5597.3,5801.5,5945.6,6061,6264.7,6415.9,6596,NaN,NaN,6930.7,NaN,7126.3,7286,7477.2,7818.3,7972.1,8086.1,8305.3,8444.8,8556.4,8744.2,8902.4,9077.2,NaN,NaN,9421.5,NaN,9614,9773.3
2027.6,2181.7,2317.2,2469.6,2634.7,2827.2,3024.5,3199.9,3502.1,3689,3857.4,4054.1,4202.8,NaN,NaN,4531.2,NaN,4749.9,4904.6,5053.1,5310.8,5429.6,5559.3,5723.8,5886.6,6022,6182,6369.1,6519.1,NaN,NaN,6856.9,NaN,7078.1,7230,7386.5,7657.3,7891.7,8051.4,8207.8,8385.6,8521.3,8680,8852.8,9002,NaN,NaN,9338.4,NaN,9566.9,9722.2,9876.9
