n,n,n,n,n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,c,x,d,m,p,a,b,c,x,g
2486.2,2670.3,3189.8,3370.5,4902.5,5015.6,5274.3,5432.9,5586.6,5739.8,6045.7,6218.5,6330.3,6529.5,6647.5,6801.7,6976.5,7129.4,7279.8,NaN,NaN,7608.7,NaN,7798.9,7952.8,8113.9,8330.3,8452.4,8561.3,8740.8,8894.3,9048,NaN,NaN,9364.6,NaN,9558.2,9710.8,9879.2,10094,10219,10329,10507,NaN,10703,10860,11038,NaN,NaN,11404,11539,11653,11853,12008,12177,NaN,NaN,12505,NaN,12701,12858,13018
2551.4,2842.4,3224.1,3610,4964.9,5107.4,5340.2,5498.7,5642.2,5841.8,6114.8,6284.8,6443.9,6600.3,6758.4,6919.9,7075.4,7227,NaN,NaN,7531.7,NaN,7751.7,7897.2,8052.8,8288.6,8411.8,8523.5,8676.8,8842.1,8999.4,NaN,NaN,9297.4,NaN,9511.8,9660.5,9814.8,10059,10180,10297,10451,NaN,10653,10803,10961,NaN,NaN,11287,11473,11621,11781,11972,12108,NaN,NaN,12435,NaN,12652,12824,12965,13196
