n,e,n,n,e,n,n,e,c,x,n,e,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,n,n,e,n,n,e,c,x,d,m,p,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,n,n,e,n,n,e,a,b,c,x,g
1981.6,2109.5,2418.5,2573.8,2700.7,2914.2,3086.7,3258.6,3448.9,3597.8,3758.6,3847.4,4082.4,NaN,4272.8,4425.4,4586.6,4800.9,4927.4,5039.8,5223,5373.7,5527.2,NaN,NaN,5848.8,NaN,6042.5,6201.8,6366.7,6579.3,6702.6,6813,7014.9,7149.2,7259.8,7446.6,7598.4,7764.9,NaN,NaN,8086.6,NaN,8281.8,8436.3,8610.2,8826.4,8949.6,9063.2,9266.3,9407.7,9518,9704.1,9858.4,10033,NaN,NaN,10442,10586,10697,10902,11043,11158,11334,11496,11733,NaN,NaN,12078,12218,12330,12508,NaN,12702,12858,13039,13374,13512,13628,13814,NaN,14008,14166,14353,NaN,NaN,14702,14843,14959,15187,15333,15452,15660,15820,15934,16117,NaN,16315,16473,16665
2029.6,2214.9,2502.9,2646,2814.6,2984.8,3159.8,3376.4,3543.7,3692,3821.8,4004.4,NaN,4226.1,4374,4519.2,4763.2,4871.7,5002.6,5158.3,5324.2,5471,NaN,NaN,5776.5,NaN,5992.6,6149.1,6298.2,6543.6,6650.9,6777.3,6931.6,7081.9,7225,7377.3,7549.9,7699.5,NaN,NaN,8017.2,NaN,8234.1,8385.8,8534.8,8785.6,8913.8,9025.3,9185.8,9335.8,9485.4,9636.2,9824.3,9952.8,NaN,NaN,10283,10510,10664,10818,10975,11121,11279,11434,11590,NaN,NaN,11981,12148,12296,12451,NaN,12650,12804,12951,13216,13451,13589,13746,NaN,13960,14110,14265,NaN,NaN,14606,14784,14921,15083,15271,15410,15607,15730,15896,16055,NaN,16262,16418,16571,16842
