-,-,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x,d,m,p,n
1028.4,1287.4,1823.6,1978.5,2126.1,2302.5,2444,2851.2,3010.1,3132.5,3326.1,3477.6,3642.2,NaN,NaN,3973.3,NaN,4168.8,4326.5,4500.7,4723.3,4852.1,4972.1,5166.8,NaN,5364.4,5523.3,5699.2,5917.1,6048,6162.1,6375.2,6549.7,6668.5,6855.6,7007.7,7192.4,NaN,NaN,7531.1,NaN,7727.3,7887.4,8062.3,8279.5,8412.7,8528.9,8729.2,8870.2,8982.6,9190,9333.3,9450.2,9635.8,9791.3,10084,10227,10341,10524,NaN,10718,10877,11048,11271,11400,11513,11694,NaN,11897,12058,12225,NaN,NaN,12587,12736,12853,13042,NaN,13241,13402,13579,13798,13930,14049,14259,14426,14542,14726,NaN,14925,15086,15308,NaN,NaN,15670
1065.7,1345.5,1875.2,2038.2,2192.3,2371.8,2551.4,2933.5,3082.7,3251.6,3428.9,3573.5,NaN,NaN,3894.1,NaN,4119.7,4273,4423.4,4682.7,4795.6,4928.3,5096.5,NaN,5315.3,5484.2,5631.7,5877.1,5990.3,6123.5,6286.5,6446.8,6623.8,6792.4,6963.9,7121.5,NaN,NaN,7452.8,NaN,7679,7835,7985.7,8242.2,8355.6,8485.7,8654.1,8799.9,8947.6,9106.5,9262.8,9410.9,9576.2,9738.5,9892.2,10156,10305,10461,NaN,10669,10825,10977,11232,11342,11477,11633,NaN,11846,12011,12159,NaN,NaN,12485,12656,12818,12976,NaN,13194,13345,13503,13757,13873,14006,14169,14332,14503,14668,NaN,14873,15038,15185,NaN,NaN,15565,15738
