n,n,n,n,e,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a
1680.3,1826.2,1991.7,2152,2302.2,3216.9,3382.1,3510.1,4362,4543.8,4666.2,4895.3,5050.2,5173.8,5363.1,5513.3,5669.5,NaN,NaN,6008.7,NaN,6204.6,6355.4,6535.8,6753.2,6880.9,6997.3,7212.2,7370.2,7484.2,7671.6,7823.2,7991.7,NaN,NaN,8329.4,NaN,8523.9,8676.7,8861.1,9083.1,9212.8,9330.8,9554,9702,9816.9,10003,10158,10325,NaN,NaN,10669
1727.4,1892,2043.9,2215,2405.4,3298.6,3450.6,3620.6,4436.1,4612.8,4774.2,4993.5,5126.8,5291.1,5462.1,5612.8,NaN,NaN,5922.3,NaN,6150.7,6303.2,6454.9,6714.3,6826.7,6956,7121.2,7284,7446.6,7604.8,7771.9,7924.2,NaN,NaN,8250.9,NaN,8476.6,8627.4,8775,9041.9,9154.9,9291.8,9453.1,9623.7,9778,9938.5,10097,10258,NaN,NaN,10579,10816
