g,n,n,n,e,n,n,n,n,e,n,n,e,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x
1862.1,1984,2141.5,2292.7,2430.5,3246.2,3370.6,3535.3,3705.3,3842.1,4947.5,5120,5246.2,5494.6,5792.8,6018.5,6201.3,6322.1,6511.3,6667.5,6831.8,NaN,NaN,7168.6,NaN,7370.1,7527.8,7704.7,7921.3,8042.8,8158.2,8363.3,8511.3,8625.8,8807.3,8965.8,9134.8,NaN,NaN,9475.8,NaN,9674,9831.1,10003,10225,10351,10464,10647,NaN,10844,11002,11172,NaN,NaN,11513,NaN,11709,11868,12036,12257,12379,12492,12678,12835,13004,NaN,NaN,13350,NaN,13548,13712,13899,14116,14245,14359,14541,NaN,14742,14903,15080,15300,15428,15546,15735,NaN,15935,16094,16268,NaN,NaN,16627,16768,16887,17114,17277,17387,17574,NaN,17776,17935,18107,18331,18462,18580,18764,NaN,18963,19124
1933.3,2054.8,2196.2,2353.9,2524.7,3285.4,3446.9,3590.8,3772.7,3950.3,5018.4,5186.6,5354.6,5735.5,5903.5,6092.9,6278.8,6440.4,6604.6,6766,NaN,NaN,7096.6,NaN,7317.6,7477.3,7625.7,7882.8,7993.5,8120.5,8282.5,8452.4,8587.9,8749.2,8916.8,9062.4,NaN,NaN,9394,NaN,9623.7,9772.1,9930.3,10185,10298,10427,10587,NaN,10797,10942,11098,NaN,NaN,11429,NaN,11659,11815,11962,12216,12331,12457,12613,12777,12938,NaN,NaN,13267,NaN,13499,13652,13816,14076,14194,14327,14484,NaN,14692,14844,15005,15259,15375,15507,15667,NaN,15884,16034,16194,NaN,NaN,16529,16699,16848,17009,17189,17356,17510,NaN,17721,17877,18032,18290,18407,18543,18701,NaN,18914,19069,19229
