n,n,e,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e
1996.6,2202.2,2326,2566.4,2847.1,3059.6,3223.9,3333.5,3521.3,3670.9,3827.6,NaN,NaN,4155.6,NaN,4348.5,4501.4,4668.4,4894.3,5020.8,5136,5332.5,5475.1,5583.6,5766.4,5918.8,6074,NaN,NaN,6397.9,NaN,6591.3,6746.4,6922.5,7145.9,7273.7,7386.2,7582.5,7727.2,7833.3,8017.2,8170.3,8338.5,NaN,NaN,8665.1,NaN,8863.2,9019.6,9186.7,9402.6,9532,9646.2,9843.8,NaN,10042,10198,10382,NaN,NaN,10713,NaN,10906,11063,11227,11552,11704,11820
2072.1,2266.1,2434.3,2800.2,2958.7,3131.4,3294.1,3457.2,3619.4,3763.9,NaN,NaN,4087.7,NaN,4302.4,4468.9,4596.9,4844,4974.6,5092.9,5254.7,5406.7,5549.3,5703.7,5874.2,6015.6,NaN,NaN,6331,NaN,6543.8,6696.4,6843.2,7101.7,7217,7345.7,7505.6,7654.2,7798.2,7956.8,8117.9,8270,NaN,NaN,8597,NaN,8811.5,8966,9118.4,9365.8,9474.9,9609.2,9769.2,NaN,9989.6,10142,10294,NaN,NaN,10632,NaN,10858,11010,11158,11409,11623,11776,11942
