n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,n,e,a,b,c,x,n,e,a,b,c,x,c
2187.8,2365.9,2524.8,2701.3,2846.5,3263.8,3427.4,3536.6,3741.8,3914.7,4034.7,4228.6,4376.5,4532,NaN,NaN,4857.9,NaN,5049.6,5202.6,5374.2,5644.4,5790.3,5898.8,6080,6230,6390.6,6476.7,6711.5,NaN,6902.1,7059.6,7268.4,7354.4,7597.7,NaN,7788.3,7946.2,8128.6
2258.9,2448,2597.3,2762.9,2951.7,3336.7,3499.3,3650.3,3813.8,3992.9,4158.8,4330.4,4472.9,NaN,NaN,4784.5,NaN,5002,5155.5,5298.3,5559.5,5712.9,5862.1,6021.8,6176.8,6329.8,6451.6,6638.8,NaN,6857.5,7011,7157.7,7334.1,7515,NaN,7740.8,7893.6,8042.2,8170.1
