n,n,n,-,n,n,e,n,g,n,n,e,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,a,b,c,x,d,m,p
1836.2,1974.4,2134.9,2435.5,2780.5,2972.2,3108.4,4053.4,4252.2,4401.5,4592.8,4715.7,4940.3,5122.2,5248.5,6096.7,6284.6,6416.5,6680.3,6870.1,6992.5,7198.8,7350.4,7507.7,NaN,NaN,7845.6,NaN,8040.2,8197.7,8372.9,8588.6,8715.4,8831.6,9048.4,9195.7,9310.8,9492.8,9648.5,9809.9,NaN,NaN,10144,NaN,10339,10497,10676,10990,11128,11241,11430,11584,11748,NaN,NaN,12089,NaN,12285,12446,12624,12849,12980,13095,13286,NaN,13483,13642,13839,NaN,NaN,14202,14352,14466,14656,NaN,14859,15020,15210,NaN,NaN
1870,2050,2205.8,2506.6,2844.7,3039.1,3215.4,4123,4290.1,4476.8,4663.7,4828.1,5016.1,5197.3,5364.7,6166.9,6358.2,6525.4,6750.9,6944.8,7115.2,7295.5,7445.6,NaN,NaN,7781.6,NaN,7994.4,8137.3,8307.1,8551.1,8684,8798.2,8955.8,9118.6,9277.7,9444.5,9601.6,9756.8,NaN,NaN,10067,NaN,10293,10459,10600,10856,11075,11207,11364,11533,11699,NaN,NaN,12005,NaN,12235,12387,12544,12805,12933,13059,13216,NaN,13433,13584,13751,NaN,NaN,14095,14287,14429,14592,NaN,14804,14969,15139,NaN,NaN,15466
