n,c,x,n,n,n,n,e,n,n,e,c,x,n,e,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,d,m,p
3021.1,3156.7,3338.4,3498.8,3658.1,3966.1,4144.3,4269.3,4475.4,4659.2,4776.2,4960.2,5110.3,5272.4,5360.8,5599.3,NaN,5793.9,5949,6127.8,6347.5,6470.9,6583.6,6777.2,NaN,6971.9,7128.2,7294.5,7520.3,7646.2,7762.2,7964.7,8115.8,8227.1,8411.8,8564.3,8740.6,NaN,NaN,9068.6,NaN,9262.6,9421.5,9616.3,NaN,NaN
3071.2,3222.5,3405.5,3567.2,3699.1,4039.7,4214.5,4373.7,4544,4733.1,4896.2,5056.1,5204.7,5334.1,5516.1,NaN,5744.5,5889.8,6046.2,6307.5,6420.5,6546.1,6706.4,NaN,6921.8,7075.7,7226.7,7473.7,7593.1,7721.5,7882.7,8035.4,8187.5,8347.2,8512.8,8659.8,NaN,NaN,8996.2,NaN,9214.1,9357.8,9517.6,NaN,NaN,9867.5
