n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,n,n,n,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,g,n
1993.8,2206.1,2317.3,2626.6,2784.1,2899,3100.5,3244.5,3405.6,NaN,NaN,3730.7,NaN,3920.2,4073.8,4244.8,4456.2,4579.8,4690.3,4869,5031.2,5183.7,5342.2,5568.3,5708.2,5815.7,5998.7,6149.9,6300.2,NaN,NaN,6627.4,NaN,6817.5,6972.4,7134.3,7348.5,7471.5,7581.2,7781.6,7916.8,8031,8212.7,8366,8533.7,8756.4
2068.2,2272.1,2424.6,2721.5,2855.4,3021.6,3198.4,3340.2,NaN,NaN,3659,NaN,3875.2,4024.9,4170.2,4419.4,4548,4653.3,4812.6,4972.2,5070.8,5254.4,5418.6,5635.8,5784.5,5931.9,6096.4,6245.7,NaN,NaN,6553.4,NaN,6769.7,6924.7,7065.5,7312.8,7419.6,7542.6,7701.5,7852.6,7988.5,8148.2,8317.8,8461.8,8712,8787.8
