c,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,c,x,g,n,n,e,a,b,c,x,d,m,p,a
4679,4815.9,4979.4,5142.3,5276.2,5575.7,5768.6,5895,6098.8,6269.2,6387.9,6576.4,6732.4,6899,NaN,NaN,7232.3,NaN,7432.1,7589.7,7768,7989.7,8116.6,8230.9,8442.6,8593.6,8706.2,8890.9,9044.5,9205.4,NaN,NaN,9534.1,NaN,9732.2,9890.8,10057,10281,10406,10519,10727,10870,10983,11171,11326,11517,NaN,NaN,11859,NaN,12057,12213,12383,12605,12739,12850,13035,NaN,13233,13391,13570,NaN,NaN,13918,14055,14168,14357,14514,14687,14906,15034,15151,15341,NaN,15539,15697,15866,NaN,NaN,16212
4725.5,4899,5041.1,5206.1,5384.3,5644.6,5838.4,6004.1,6170.1,6340.2,6508.3,6679.8,6838,NaN,NaN,7154.8,NaN,7382.1,7542.8,7691.1,7950.1,8061,8191.5,8350.5,8513.8,8665.7,8829.4,9011.1,9148.2,NaN,NaN,9462.3,NaN,9682.2,9837.2,9998.4,10239,10354,10485,10646,10801,10944,11108,11274,11442,NaN,NaN,11774,NaN,12007,12158,12321,12566,12697,12815,12974,NaN,13182,13356,13505,NaN,NaN,13836,13989,14133,14294,14462,14624,14868,14990,15111,15277,NaN,15490,15659,15811,NaN,NaN,16124,16361
