n,n,n,n,n,n,n,n,n,e,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p
2018.7,2447.3,3543.1,4751.8,5742.3,5824.3,6023.5,7092,7251.3,7372.2,7676,7960.9,8153.2,8300.1,8457,NaN,NaN,8793.2,NaN,8984.5,9136.3,9302.7,9572.6,9714.9,9827,10005,10156,10318,NaN,NaN,10656,NaN,10847,11002,11174,11392,11521,11638,11851,11987,12098,12275,12429,12586,NaN,NaN,12927,NaN,13124,13281,13450,13666,13790,13903,14109,14249,14358,14542,14692,14874,NaN,NaN
2064.6,2547.8,3588.2,4797.3,5791.1,5935.1,6090.2,7211.2,7317.3,7486,7909.9,8085.9,8248.2,8398.5,NaN,NaN,8718.5,NaN,8937.4,9088.6,9233.8,9479.9,9644.2,9795.8,9939.2,10105,10254,NaN,NaN,10570,NaN,10802,10947,11097,11350,11455,11595,11759,11954,12062,12219,12384,12525,NaN,NaN,12839,NaN,13075,13232,13379,13628,13758,13868,14025,14180,14328,14477,14642,14796,NaN,NaN,15129
