g,n,n,n,n,n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,n,n,e,n,n,e,n,n,e,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,n,n,e,a,b,c,x,d,m,p,n,n,e,a,b,c,x,g,n,n,e
1786.9,1940.8,2360.7,2503.7,2677.8,3293.6,3407.9,3587.8,3772.6,3935,4060.1,4997.2,5159.4,5293.5,5533,5710.9,5838.8,6050,6201.8,6378.1,NaN,NaN,6714.8,NaN,6909.8,7066,7248.1,7467.5,7591.2,7717.1,7938.1,8089.3,8207.8,8437.3,8593.4,8707.3,8890.8,9044.7,9214.9,NaN,NaN,9570.9,NaN,9763.8,9919.9,10107,10470,10614,10729,10928,11078,11191,11382,11538,11732,NaN,NaN,12085,12225,12340,12549,12689,12800,13005,13154,13266,13445,13598,13775,13990,14114,14225,14407,NaN,14605,14765,14936,15156,15276,15391,15576,NaN,15770,15928,16101,NaN,NaN,16458,16595,16706,16910,17071,17185,17367,NaN,17561,17718,17913,NaN,NaN,18308,18498,18619,18806,NaN,19007,19166,19352,19573,19703,19817
1828.3,2175.6,2431.2,2596.6,2739,3354.2,3489.2,3662.6,3843.5,3995.7,4163.6,5079.2,5227.3,5402.8,5626.2,5784.2,5955.4,6148.9,6297.9,NaN,NaN,6641.1,NaN,6859.1,7018.1,7158,7426.2,7540.5,7667,7833.5,8006.3,8160.6,8330,8506.5,8675.1,8832.2,8992.9,9141.8,NaN,NaN,9470.2,NaN,9712.9,9866.8,10026,10286,10544,10688,10851,11000,11155,11314,11487,11675,NaN,NaN,11988,12157,12300,12460,12620,12760,12922,13077,13231,13385,13551,13699,13949,14066,14191,14348,NaN,14553,14714,14865,15116,15229,15353,15516,NaN,15722,15873,16032,NaN,NaN,16356,16530,16669,16827,16983,17147,17310,NaN,17514,17666,17818,NaN,NaN,18171,18385,18574,18739,NaN,18951,19110,19265,19535,19647,19780,19938
