n,n,n,n,n,n,n,n,n,n,e,n,n,e,n,n,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,c,x,g,n,n,e,a,b,c
1996.5,2069.1,3085.5,3215.8,3342.7,3654.6,3960.6,4368.6,4684,4844,4971.1,5652.5,5823.7,5943.5,6154.9,6446.6,6752.3,7055,7228.9,7353.7,7525.2,7702.6,7858.7,NaN,NaN,8192.8,NaN,8385.7,8540,8715.5,8929.2,9053,9165.8,9370.6,9509.6,9622,9809,9962,10129,NaN,NaN,10468,NaN,10663,10824,11009,11231,11359,11473,11681,11853,11968,12160,NaN,12355,12513,12694,12913,13041,13156,13345,NaN,13542,13700,13881,NaN,NaN,14248,14380,14493,14677,14830,15009,15227,15355,15469,15647,NaN,15846
2038.4,2106.8,3121.9,3287.8,3448.6,3868.3,4029.6,4581.5,4748.8,4905.8,5067.2,5735.7,5895.7,6049.3,6229.8,6688.2,6933.8,7147.2,7306.6,7491.3,7647.8,7800.2,NaN,NaN,8114.8,NaN,8338.2,8481.9,8636.4,8890.1,9018.4,9128.2,9291.8,9442.8,9584.5,9742.8,9909,10060,NaN,NaN,10382,NaN,10615,10756,10919,11188,11305,11437,11593,11757,11933,12093,NaN,12302,12454,12610,12872,12988,13119,13277,NaN,13492,13650,13798,NaN,NaN,14143,14332,14456,14613,14775,14930,15187,15304,15433,15588,NaN,15792,15929
