n,n,n,n,n,n,n,e,n,n,n,e,c,x,d,m,p,a,b,c,x,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n
1984.4,2156.4,2411.4,2558.5,2736.2,3031.7,3219,3347.4,3577.4,3858.2,4042.5,4167.4,4370.8,4520.2,4686.4,NaN,NaN,5039.3,NaN,5234.5,5397,5753,5951.5,6062.5,6256.7,6408.9,6577.8,NaN,NaN,6905.5,NaN,7098.4,7251.8,7433.7,7653.7,7780.6,7893,8100.3,8251,8367.3,8609.6,8809.3,8920.9,9114.7,9266.6,9425,NaN,NaN,9761.2,NaN,9965.7,10120,10302,10524,10647,10763,10980
2046,2223.2,2483.6,2633.1,2801.2,3104.9,3289.1,3481.9,3648.3,3930,4111.5,4286.3,4474.7,4617.4,NaN,NaN,4945.8,NaN,5186.6,5338.6,5494.4,5829.3,6035,6174.5,6362.2,6508.1,NaN,NaN,6829.8,NaN,7052.4,7194.1,7350.1,7610.9,7727.8,7855.7,8011.8,8169,8321.9,8490.1,8677.6,8885.4,9041.8,9219.9,9366,NaN,NaN,9677.7,NaN,9906.9,10066,10220,10486,10597,10719,10883,11055
