n,n,n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,n,n,e,n,n,e,c,x,d,m,p,n,n,e,a,b,c,x,g,s,n,e,n,n,e,c,x,d,m,p
1830.8,1981.5,2141.9,2738.1,2882.8,3036.4,3204.6,3319.1,3535.4,3691.8,3820.8,4009.1,4161.3,4323.3,NaN,NaN,4652.6,NaN,4847.5,5001.7,5175.9,5475.6,5619.2,5729.8,5914.9,6069.9,6229.4,NaN,NaN,6564.8,NaN,6758.3,6969.1,7082.4,7292.1,7442.3,7555.2,7749.7,7904.4,8077.9,NaN,NaN,8414.4,NaN,8610.8,8771.9,8943.1,9160.3,9286.1,9395.9,9578.4,NaN,9777.4,9937.9,10132,NaN,NaN,10468,NaN,10665,10823,11009,11217,11346,11459,11649,NaN,11855,12102,12255,12371,12575,12712,12825,13006,13161,13340,NaN,NaN,13705,13881,13995,14183,NaN,14380,14546,14739,14953,15077,15191,15409,15567,15684,15864,16021,16232,NaN,NaN
1888,2053.7,2198.4,2796.3,2967.1,3110.9,3273.3,3430,3628.9,3767.6,3936.1,4100.7,4259.3,NaN,NaN,4581.7,NaN,4796.9,4948.3,5097.9,5349.3,5545.2,5696.3,5849.3,6019.3,6167.8,NaN,NaN,6487.8,NaN,6713.8,6855,7051.2,7199.3,7362.6,7514,7672.3,7849,8003.9,NaN,NaN,8328.1,NaN,8563.8,8715.6,8866.6,9118.5,9235.4,9361,9518.2,NaN,9724,9877.4,10031,NaN,NaN,10388,NaN,10614,10767,10918,11181,11292,11423,11583,NaN,11799,11956,12168,12340,12483,12642,12792,12945,13104,13259,NaN,NaN,13586,13770,13957,14118,NaN,14329,14485,14641,14912,15027,15154,15311,15493,15644,15806,15968,16120,NaN,NaN,16499
