n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c
3383.8,3527.8,3684.3,3817.6,4244.1,4449.8,4583.7,4770.3,4922.9,5108.9,NaN,NaN,5430.4,NaN,5625.1,5781.5,5949.6,6165,6290.5,6403.2,6607.4,6765.6,6876.5,7055,7208.2,7363.6,NaN,NaN,7696.5,NaN,7889.1,8045.1,8215.4,8429.6,8553.6,8664.9,8844.1,9000.3,9148.2,NaN,NaN,9489,NaN,9683.6,9840,10015,10232,10358,10471,10679,10819,10931,11117,11273,11436,NaN,NaN,11760,NaN,11956
3453.3,3600.6,3749.9,3924.4,4357.6,4523.7,4701.2,4868.9,5014.5,NaN,NaN,5362.2,NaN,5577.6,5732.5,5876.8,6127.1,6237.8,6366.1,6524.6,6679.5,6840.2,6993.3,7156.8,7305.4,NaN,NaN,7623,NaN,7840.5,7995.4,8143.7,8396.6,8501.4,8626,8784.3,8947.3,9101.1,NaN,NaN,9413.2,NaN,9638.4,9804.1,9933.9,10197,10323,10439,10596,10753,10892,11054,11222,11383,NaN,NaN,11692,NaN,11909,12066
