n,n,e,n,n,e,c,x,n,e,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,n
5544.2,5710.4,5836.2,6060.3,6241,6363.8,6553.6,6706.3,6895.3,6981.1,7221.4,NaN,7412.5,7565.2,7741.3,7951,8073.1,8185.8,8386.4,8524.4,8637.4,8817.4,8972.5,9126.6,NaN,NaN,9441.7,NaN,9635.3,9792.1,9957.8,10174,10297,10407,10611,10750,10858,11041,11198,11363,NaN,NaN,11695,NaN,11888,12042,12215,12427,12555,12666,12846,NaN,13042,13199,13374,NaN,NaN,13726,13862,13976,14158,14313,14491,14713,14838,14953,15140,NaN,15333,15495,15677,15896,16022,16133,16314,NaN,16513,16679,16895
5617.1,5780.3,5942.9,6129.6,6310.2,6479.6,6645.8,6802.9,6952.3,7137.7,NaN,7363.6,7511,7663.4,7915.3,8022.8,8148.4,8304,8471.5,8599.9,8757,8922.8,9069.3,NaN,NaN,9382.6,NaN,9586.7,9744.7,9888.8,10135,10246,10375,10529,10679,10827,10978,11149,11297,NaN,NaN,11614,NaN,11836,11987,12143,12393,12501,12633,12786,NaN,12991,13145,13297,NaN,NaN,13629,13794,13942,14095,14256,14415,14674,14798,14914,15075,NaN,15285,15439,15597,15858,15985,16094,16252,NaN,16459,16617,16780,16961
