n,n,n,n,n,e,n,n,e,n,n,e,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,d,m,p,n,n,e,c,x,d,m,p,n
2943.8,3123.5,3570.5,3754.7,3951.4,4097.6,4685.2,4862.3,4982.5,5189.5,5352.1,5466.4,5659.4,5810.3,5978,6189.7,6313.7,6426.4,6607.3,6759.9,6913,NaN,NaN,7239.9,NaN,7430.4,7584.6,7747,7959.3,8080.1,8188.9,8385.5,8524.1,8632.4,8808.5,8961.1,9118.9,NaN,NaN,9452,NaN,9646.2,9799.1,9966.9,10186,10312,10425,10626,10775,10892,11078,11230,11391,NaN,NaN,11742,NaN,11938,12096,12324,NaN,NaN,12669,12805,12917,13100,13254,13455,NaN,NaN,13828
3008.5,3180,3662.8,3815.2,4012.2,4223.2,4753.1,4935.9,5094.2,5257.9,5425.8,5584.5,5765.3,5918.5,6156.2,6261.6,6391.5,6543,6720.9,6862.8,NaN,NaN,7167.3,NaN,7384.8,7546.4,7685.7,7922.3,8031.4,8155.8,8310.6,8458.2,8598.1,8749.6,8909.6,9058.8,NaN,NaN,9374.2,NaN,9598.2,9746.5,9896.6,10144,10271,10390,10546,10698,10853,11011,11183,11328,NaN,NaN,11650,NaN,11889,12040,12196,NaN,NaN,12577,12739,12883,13039,13201,13362,NaN,NaN,13706,13898
