n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e
3151.7,3304.4,3606.9,3779.4,3911.5,4161.2,4392,4511,4723.4,4881,5064,NaN,NaN,5394,NaN,5591.3,5746.8,5926,6145,6270.5,6383.1,6607.7,6769.4,6882.1,7067.9,7224.4,7391.2,NaN,NaN,7725.2,NaN,7920.3,8078.9,8259.8,8479.8,8609.4,8720.5,8940.4,9095.5,9209.6,9403.8,9558.7,9728.3,NaN,NaN,10075,NaN,10274,10434,10621,10839,10963,11076,11286,11443,11555,11780,11918,12034,12224,12379,12548,NaN,NaN,12894,NaN,13090,13248,13422,13644,13771,13883,14083,14243,14366
3212.7,3369.2,3677.3,3847.5,4017,4232.7,4461.8,4624.7,4831.1,4977.8,NaN,NaN,5321.6,NaN,5539.6,5691.4,5845.1,6104.7,6218.1,6344,6504.8,6675.8,6845.3,7004.7,7163.9,7322.6,NaN,NaN,7645.2,NaN,7872.7,8026.8,8178.2,8441.3,8552,8681.9,8842.9,9010.8,9168.6,9331.4,9507.7,9658.8,NaN,NaN,9980,NaN,10224,10378,10533,10800,10911,11036,11195,11355,11515,11678,11848,11990,12151,12328,12479,NaN,NaN,12808,NaN,13036,13186,13346,13602,13717,13845,14003,14158,14318,14494
