n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,n,e,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x
1672.6,1813,1987.6,2854.5,3025.1,3159.8,3516.2,3682.2,3804,4003.1,4156,4315.8,NaN,NaN,4652.8,NaN,4851.2,5006.8,5187.9,5405.2,5631.8,5772.7,5886.4,6079,6232.1,6401.1,NaN,NaN,6796.7,NaN,6992.3,7149.9,7324.2,7549.6,7679.4,7791.2,8016.7,8288.9,8441.2,8553.6,8734.5,8889.1,9047.8,9267.2,9398.3,9511.2,9755.5,9894.7,10008,10194,10347,10533,NaN,NaN,10868,NaN,11066,11229
1705.8,1868.2,2044.2,2923.2,3095.3,3261.9,3589.5,3756,3927.2,4105.4,4253.5,NaN,NaN,4575.5,NaN,4803.5,4953.9,5104.8,5369.3,5475.4,5701.3,5849.2,6007.5,6186.5,6339,NaN,NaN,6655.9,NaN,6944.1,7093.7,7250,7504.2,7625.2,7752.4,7911.7,8084.6,8360.5,8517.6,8678.4,8839.8,8987.9,9229.5,9342.3,9472.9,9634.6,9828.9,9969.2,10132,10301,10447,NaN,NaN,10791,NaN,11017,11172,11331
