n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x
1803.6,1973.6,2125.6,2276.7,2409,3012.5,3126.8,3315.9,3577.7,3764.4,3881.5,4096.7,4251.3,4411.6,NaN,NaN,4757.8,NaN,4954,5110.8,5286.8,5507.3,5640.7,5759.8,5973.1,6113.7,6230,6423.2,6578.3,6735.9,NaN,NaN,7085.8,NaN,7284.2,7442,7629.2,7848,7981.7,8095.5,8283.3,NaN,8480.6,8642.9,8832.4,NaN,NaN,9192.8,9337.1,9450.2,9640.2,9803.7,9978.1,NaN,NaN,10324,NaN,10523,10685,10885,11109,11243,11360,11568,NaN,11767,11930
1838.3,2050.2,2189.4,2341.8,2514.7,3082.7,3250,3428.2,3649.2,3842.1,4000,4205.1,4346.3,NaN,NaN,4673.1,NaN,4903.3,5055.9,5210.2,5467.9,5606,5725.2,5883,6056.7,6198.6,6351.9,6546.8,6680.5,NaN,NaN,6994.3,NaN,7233.3,7407.7,7542.7,7810.6,7922.4,8063,8219.8,NaN,8434.7,8591.4,8769.6,NaN,NaN,9117.6,9266.4,9410.6,9573.6,9750.5,9905.3,NaN,NaN,10243,NaN,10474,10653,10785,11069,11182,11318,11477,NaN,11720,11876,12032
